table_name,column_name,data_type
Fox,id,bigint
admin_logs,target_user_id,uuid
admin_logs,admin_id,uuid
admin_logs,id,uuid
app_modules,id,text
contact_messages,id,uuid
deposit_attempts,id,integer
deposit_attempts,stripe_session_id,character varying
deposit_attempts,wallet_id,integer
driver_details,id,uuid
financial_transactions,transaction_id,uuid
financial_transactions,shipment_id,uuid
financial_transactions,wallet_id,uuid
invoices,shipper_id,uuid
invoices,invoice_id,uuid
invoices,shipment_id,uuid
load_bids,id,uuid
load_bids,load_id,uuid
load_bids,driver_id,uuid
loads,driver_id,uuid
loads,owner_id,uuid
loads,id,uuid
maintenance_requests,truck_id,uuid
maintenance_requests,carrier_id,uuid
maintenance_requests,driver_id,uuid
maintenance_requests,id,uuid
messages,sender_id,uuid
messages,id,uuid
messages,receiver_id,uuid
notifications,id,uuid
notifications,user_id,uuid
products,owner_id,uuid
products,id,uuid
profiles,id,uuid
profiles,id_number,text
profiles,id_document_url,text
profiles,user_type,character varying
profiles,id_photo_url,text
ratings,id,uuid
ratings,rated_id,uuid
ratings,rater_id,uuid
ratings,load_id,uuid
receivers,id,uuid
receivers,owner_id,uuid
role_module_access,module_id,text
route_pricing,id,uuid
saved_locations,id,uuid
saved_locations,owner_id,uuid
shipment_finances,carrier_id,uuid
shipment_finances,shipment_id,uuid
shipment_finances,shipper_id,uuid
shipment_products,load_id,uuid
shipment_products,id,uuid
shipments,shipment_id,integer
shipments,carrier_id,integer
shipments,shipper_id,integer
shipper_payments,shipment_id,uuid
shipper_payments,id,uuid
shipper_payments,shipper_id,uuid
sub_drivers,carrier_id,uuid
sub_drivers,id,uuid
sub_drivers,assigned_truck_id,uuid
sub_drivers,id_number,text
support_tickets,id,uuid
support_tickets,user_id,uuid
system_settings,id,text
system_status,id,bigint
ticket_messages,id,uuid
ticket_messages,sender_id,uuid
ticket_messages,ticket_id,uuid
transactions,wallet_id,integer
transactions,shipment_id,integer
transactions,user_id,uuid
transactions,transaction_id,integer
trucks,id,uuid
trucks,owner_id,uuid
user_roles,user_id,uuid
user_roles,id,uuid
users,user_id,integer
users,username,character varying
users,user_type,character varying
wallets,user_type,USER-DEFINED
wallets,wallet_id,uuid
wallets,user_id,uuid
withdrawal_requests,id,integer
withdrawal_requests,wallet_id,uuid
withdrawal_requests,user_id,uuid
